release_year,album,title,lyrics
1964,Another Side of Bob Dylan,I Shall Be Free No. 10,"I’m just average, common too
 
 I’m just like him, the same as you
 
 I’m everybody’s brother and son
 
 I ain’t different from anyone
 
 It ain’t no use a-talking to me
 
 It’s just the same as talking to you
 
 
 
 I was shadow-boxing earlier in the day
 
 I figured I was ready for Cassius Clay
 
 I said “Fee, fie, fo, fum, Cassius Clay, here I come
 
 26, 27, 28, 29, I’m gonna make your face look just like mine
 
 Five, four, three, two, one, Cassius Clay you’d better run
 
 99, 100, 101, 102, your ma won’t even recognize you
 
 14, 15, 16, 17, 18, 19, gonna knock him clean right out of his spleen”
 
 
 
 Well, I don’t know, but I’ve been told
 
 The streets in heaven are lined with gold
 
 I ask you how things could get much worse
 
 If the Russians happen to get up there first
 
 Wowee! pretty scary!
 
 
 
 Now, I’m liberal, but to a degree
 
 I want ev’rybody to be free
 
 But if you think that I’ll let Barry Goldwater
 
 Move in next door and marry my daughter
 
 You must think I’m crazy!
 
 I wouldn’t let him do it for all the farms in Cuba
 
 
 
 Well, I set my monkey on the log
 
 And ordered him to do the Dog
 
 He wagged his tail and shook his head
 
 And he went and did the Cat instead
 
 He’s a weird monkey, very funky
 
 
 
 I sat with my high-heeled sneakers on
 
 Waiting to play tennis in the noonday sun
 
 I had my white shorts rolled up past my waist
 
 And my wig-hat was falling in my face
 
 But they wouldn’t let me on the tennis court
 
 
 
 I got a woman, she’s so mean
 
 She sticks my boots in the washing machine
 
 Sticks me with buckshot when I’m nude
 
 Puts bubblegum in my food
 
 She’s funny, wants my money, calls me “honey”
 
 
 
 Now I got a friend who spends his life
 
 Stabbing my picture with a bowie knife
 
 Dreams of strangling me with a scarf
 
 When my name comes up he pretends to barf
 
 I’ve got a million friends!
 
 
 
 Now they asked me to read a poem
 
 At the sorority sisters’ home
 
 I got knocked down and my head was swimmin’
 
 I wound up with the Dean of Women
 
 Yippee! I’m a poet, and I know it
 
 Hope I don’t blow it
 
 
 
 I’m gonna grow my hair down to my feet so strange
 
 So I look like a walking mountain range
 
 And I’m gonna ride into Omaha on a horse
 
 Out to the country club and the golf course
 
 Carry The New York Times, shoot a few holes, blow their minds
 
 
 
 Now you’re probably wondering by now
 
 Just what this song is all about
 
 What’s probably got you baffled more
 
 Is what this thing here is for
 
 It’s nothing
 
 It’s something I learned over in England"
1964,Another Side of Bob Dylan,To Ramona,"Ramona
 
 Come closer
 
 Shut softly your watery eyes
 
 The pangs of your sadness
 
 Shall pass as your senses will rise
 
 The flowers of the city
 
 Though breathlike
 
 Get deathlike at times
 
 And there’s no use in tryin’
 
 T’ deal with the dyin’
 
 Though I cannot explain that in lines
 
 
 
 Your cracked country lips
 
 I still wish to kiss
 
 As to be under the strength of your skin
 
 Your magnetic movements
 
 Still capture the minutes I’m in
 
 But it grieves my heart, love
 
 To see you tryin’ to be a part of
 
 A world that just don’t exist
 
 It’s all just a dream, babe
 
 A vacuum, a scheme, babe
 
 That sucks you into feelin’ like this
 
 
 
 I can see that your head
 
 Has been twisted and fed
 
 By worthless foam from the mouth
 
 I can tell you are torn
 
 Between stayin’ and returnin’
 
 On back to the South
 
 You’ve been fooled into thinking
 
 That the finishin’ end is at hand
 
 Yet there’s no one to beat you
 
 No one t’ defeat you
 
 ’Cept the thoughts of yourself feeling bad
 
 
 
 I’ve heard you say many times
 
 That you’re better ’n no one
 
 And no one is better ’n you
 
 If you really believe that
 
 You know you got
 
 Nothing to win and nothing to lose
 
 From fixtures and forces and friends
 
 Your sorrow does stem
 
 That hype you and type you
 
 Making you feel
 
 That you must be exactly like them
 
 
 
 I’d forever talk to you
 
 But soon my words
 
 They would turn into a meaningless ring
 
 For deep in my heart
 
 I know there is no help I can bring
 
 Everything passes
 
 Everything changes
 
 Just do what you think you should do
 
 And someday maybe
 
 Who knows, baby
 
 I’ll come and be cryin’ to you"
1964,Another Side of Bob Dylan,Motorpsycho Nightmare,"I pounded on a farmhouse
 
 Lookin’ for a place to stay
 
 I was mighty, mighty tired
 
 I had come a long, long way
 
 I said, “Hey, hey, in there
 
 Is there anybody home?”
 
 I was standin’ on the steps
 
 Feelin’ most alone
 
 Well, out comes a farmer
 
 He must have thought that I was nuts
 
 He immediately looked at me
 
 And stuck a gun into my guts
 
 
 
 I fell down
 
 To my bended knees
 
 Saying, “I dig farmers
 
 Don’t shoot me, please!”
 
 He cocked his rifle
 
 And began to shout
 
 “You’re that travelin’ salesman
 
 That I have heard about”
 
 I said, “No! No! No!
 
 I’m a doctor and it’s true
 
 I’m a clean-cut kid
 
 And I been to college, too”
 
 
 
 Then in comes his daughter
 
 Whose name was Rita
 
 She looked like she stepped out of
 
 La Dolce Vita
 
 I immediately tried to cool it
 
 With her dad
 
 And told him what a
 
 Nice, pretty farm he had
 
 He said, “What do doctors
 
 Know about farms, pray tell?”
 
 I said, “I was born
 
 At the bottom of a wishing well”
 
 
 
 Well, by the dirt ’neath my nails
 
 I guess he knew I wouldn’t lie
 
 “I guess you’re tired”
 
 He said, kinda sly
 
 I said, “Yes, ten thousand miles
 
 Today I drove”
 
 He said, “I got a bed for you
 
 Underneath the stove
 
 Just one condition
 
 And you go to sleep right now
 
 That you don’t touch my daughter
 
 And in the morning, milk the cow”
 
 
 
 I was sleepin’ like a rat
 
 When I heard something jerkin’
 
 There stood Rita
 
 Lookin’ just like Tony Perkins
 
 She said, “Would you like to take a shower?
 
 I’ll show you up to the door”
 
 I said, “Oh, no! no!
 
 I’ve been through this before”
 
 I knew I had to split
 
 But I didn’t know how
 
 When she said
 
 “Would you like to take that shower, now?”
 
 
 
 Well, I couldn’t leave
 
 Unless the old man chased me out
 
 ’Cause I’d already promised
 
 That I’d milk his cows
 
 I had to say something
 
 To strike him very weird
 
 So I yelled out
 
 “I like Fidel Castro and his beard”
 
 Rita looked offended
 
 But she got out of the way
 
 As he came charging down the stairs
 
 Sayin’, “What’s that I heard you say?”
 
 
 
 I said, “I like Fidel Castro
 
 I think you heard me right”
 
 And ducked as he swung
 
 At me with all his might
 
 Rita mumbled something
 
 ’Bout her mother on the hill
 
 As his fist hit the icebox
 
 He said he’s going to kill me
 
 If I don’t get out the door
 
 In two seconds flat
 
 “You unpatriotic
 
 Rotten doctor Commie rat”
 
 
 
 Well, he threw a Reader’s Digest
 
 At my head and I did run
 
 I did a somersault
 
 As I seen him get his gun
 
 And crashed through the window
 
 At a hundred miles an hour
 
 And landed fully blast
 
 In his garden flowers
 
 Rita said, “Come back!”
 
 As he started to load
 
 The sun was comin’ up
 
 And I was runnin’ down the road
 
 
 
 Well, I don’t figure I’ll be back
 
 There for a spell
 
 Even though Rita moved away
 
 And got a job in a motel
 
 He still waits for me
 
 Constant, on the sly
 
 He wants to turn me in
 
 To the F.B.I.
 
 Me, I romp and stomp
 
 Thankful as I romp
 
 Without freedom of speech
 
 I might be in the swamp"
1964,Another Side of Bob Dylan,I Don't Believe You (She Acts Like We Never Have Met),"I can’t understand
 
 She let go of my hand
 
 An’ left me here facing the wall
 
 I’d sure like t’ know
 
 Why she did go
 
 But I can’t get close t’ her at all
 
 Though we kissed through the wild blazing nighttime
 
 She said she would never forget
 
 But now mornin’s clear
 
 It’s like I ain’t here
 
 She just acts like we never have met
 
 
 
 It’s all new t’ me
 
 Like some mystery
 
 It could even be like a myth
 
 Yet it’s hard t’ think on
 
 That she’s the same one
 
 That last night I was with
 
 From darkness, dreams’re deserted
 
 Am I still dreamin’ yet?
 
 I wish she’d unlock
 
 Her voice once an’ talk
 
 ’Stead of acting like we never have met
 
 
 
 If she ain’t feelin’ well
 
 Then why don’t she tell
 
 ’Stead of turnin’ her back t’ my face?
 
 Without any doubt
 
 She seems too far out
 
 For me t’ return t’ her chase
 
 Though the night ran swirling an’ whirling
 
 I remember her whispering yet
 
 But evidently she don’t
 
 An’ evidently she won’t
 
 She just acts like we never have met
 
 
 
 If I didn’t have t’ guess
 
 I’d gladly confess
 
 T’ anything I might’ve tried
 
 If I was with ’er too long
 
 Or have done something wrong
 
 I wish she’d tell me what it is, I’ll run an’ hide
 
 Though her skirt it swayed as a guitar played
 
 Her mouth was watery and wet
 
 But now something has changed
 
 For she ain’t the same
 
 She just acts like we never have met
 
 
 
 I’m leavin’ today
 
 I’ll be on my way
 
 Of this I can’t say very much
 
 But if you want me to
 
 I can be just like you
 
 An’ pretend that we never have touched
 
 An’ if anybody asks me
 
 “Is it easy to forget?”
 
 I’ll say, “It’s easily done
 
 You just pick anyone
 
 An’ pretend that you never have met!”"
1964,The Times They Are A-Changin',The Times They Are A-Changin',"Come gather ’round people
 
 Wherever you roam
 
 And admit that the waters
 
 Around you have grown
 
 And accept it that soon
 
 You’ll be drenched to the bone
 
 If your time to you is worth savin’
 
 Then you better start swimmin’ or you’ll sink like a stone
 
 For the times they are a-changin’
 
 
 
 Come writers and critics
 
 Who prophesize with your pen
 
 And keep your eyes wide
 
 The chance won’t come again
 
 And don’t speak too soon
 
 For the wheel’s still in spin
 
 And there’s no tellin’ who that it’s namin’
 
 For the loser now will be later to win
 
 For the times they are a-changin’
 
 
 
 Come senators, congressmen
 
 Please heed the call
 
 Don’t stand in the doorway
 
 Don’t block up the hall
 
 For he that gets hurt
 
 Will be he who has stalled
 
 There’s a battle outside and it is ragin’
 
 It’ll soon shake your windows and rattle your walls
 
 For the times they are a-changin’
 
 
 
 Come mothers and fathers
 
 Throughout the land
 
 And don’t criticize
 
 What you can’t understand
 
 Your sons and your daughters
 
 Are beyond your command
 
 Your old road is rapidly agin’
 
 Please get out of the new one if you can’t lend your hand
 
 For the times they are a-changin’
 
 
 
 The line it is drawn
 
 The curse it is cast
 
 The slow one now
 
 Will later be fast
 
 As the present now
 
 Will later be past
 
 The order is rapidly fadin’
 
 And the first one now will later be last
 
 For the times they are a-changin’"
1965,Highway 61 Revisited,Ballad Of a Thin Man,"You walk into the room
 
 With your pencil in your hand
 
 You see somebody naked
 
 And you say, “Who is that man?”
 
 You try so hard
 
 But you don’t understand
 
 Just what you’ll say
 
 When you get home
 
 
 
 Because something is happening here
 
 But you don’t know what it is
 
 Do you, Mister Jones?
 
 
 
 You raise up your head
 
 And you ask, “Is this where it is?”
 
 And somebody points to you and says
 
 “It’s his”
 
 And you say, “What’s mine?”
 
 And somebody else says, “Where what is?”
 
 And you say, “Oh my God
 
 Am I here all alone?”
 
 
 
 Because something is happening here
 
 But you don’t know what it is
 
 Do you, Mister Jones?
 
 
 
 You hand in your ticket
 
 And you go watch the geek
 
 Who immediately walks up to you
 
 When he hears you speak
 
 And says, “How does it feel
 
 To be such a freak?”
 
 And you say, “Impossible”
 
 As he hands you a bone
 
 
 
 Because something is happening here
 
 But you don’t know what it is
 
 Do you, Mister Jones?
 
 
 
 You have many contacts
 
 Among the lumberjacks
 
 To get you facts
 
 When someone attacks your imagination
 
 But nobody has any respect
 
 Anyway they already expect you
 
 To just give a check
 
 To tax-deductible charity organizations
 
 
 
 You’ve been with the professors
 
 And they’ve all liked your looks
 
 With great lawyers you have
 
 Discussed lepers and crooks
 
 You’ve been through all of
 
 F. Scott Fitzgerald’s books
 
 You’re very well read
 
 It’s well known
 
 
 
 Because something is happening here
 
 But you don’t know what it is
 
 Do you, Mister Jones?
 
 
 
 Well, the sword swallower, he comes up to you
 
 And then he kneels
 
 He crosses himself
 
 And then he clicks his high heels
 
 And without further notice
 
 He asks you how it feels
 
 And he says, “Here is your throat back
 
 Thanks for the loan”
 
 
 
 Because something is happening here
 
 But you don’t know what it is
 
 Do you, Mister Jones?
 
 
 
 Now you see this one-eyed midget
 
 Shouting the word “NOW”
 
 And you say, “For what reason?”
 
 And he says, “How?”
 
 And you say, “What does this mean?”
 
 And he screams back, “You’re a cow
 
 Give me some milk
 
 Or else go home”
 
 
 
 Because something is happening here
 
 But you don’t know what it is
 
 Do you, Mister Jones?
 
 
 
 Well, you walk into the room
 
 Like a camel and then you frown
 
 You put your eyes in your pocket
 
 And your nose on the ground
 
 There ought to be a law
 
 Against you comin’ around
 
 You should be made
 
 To wear earphones
 
 
 
 Because something is happening here
 
 But you don’t know what it is
 
 Do you, Mister Jones?"
1965,Bringing It All Back Home,Outlaw Blues,"Ain’t it hard to stumble
 
 And land in some funny lagoon?
 
 Ain’t it hard to stumble
 
 And land in some muddy lagoon?
 
 Especially when it’s nine below zero
 
 And three o’clock in the afternoon.
 
 
 
 Ain’t gonna hang no picture
 
 Ain’t gonna hang no picture frame
 
 Ain’t gonna hang no picture
 
 Ain’t gonna hang no picture frame
 
 Well, I might look like Robert Ford
 
 But I feel just like a Jesse James
 
 
 
 Well, I wish I was on some
 
 Australian mountain range
 
 Oh, I wish I was on some
 
 Australian mountain range
 
 I got no reason to be there, but I
 
 Imagine it would be some kind of change
 
 
 
 I got my dark sunglasses
 
 I got for good luck my black tooth
 
 I got my dark sunglasses
 
 I’m carryin’ for good luck my black tooth
 
 Don’t ask me nothin’ about nothin’
 
 I just might tell you the truth
 
 
 
 I got a woman in Jackson
 
 I ain’t gonna say her name
 
 I got a woman in Jackson
 
 I ain’t gonna say her name
 
 She’s a brown-skin woman, but I
 
 Love her just the same"
1965,Bringing It All Back Home,Love Minus Zero/ No Limit,"My love she speaks like silence
 
 Without ideals or violence
 
 She doesn’t have to say she’s faithful
 
 Yet she’s true, like ice, like fire
 
 People carry roses
 
 Make promises by the hours
 
 My love she laughs like the flowers
 
 Valentines can’t buy her
 
 
 
 In the dime stores and bus stations
 
 People talk of situations
 
 Read books, repeat quotations
 
 Draw conclusions on the wall
 
 Some speak of the future
 
 My love she speaks softly
 
 She knows there’s no success like failure
 
 And that failure’s no success at all
 
 
 
 The cloak and dagger dangles
 
 Madams light the candles
 
 In ceremonies of the horsemen
 
 Even the pawn must hold a grudge
 
 Statues made of matchsticks
 
 Crumble into one another
 
 My love winks, she does not bother
 
 She knows too much to argue or to judge
 
 
 
 The bridge at midnight trembles
 
 The country doctor rambles
 
 Bankers’ nieces seek perfection
 
 Expecting all the gifts that wise men bring
 
 The wind howls like a hammer
 
 The night blows cold and rainy
 
 My love she’s like some raven
 
 At my window with a broken wing"
1965,Bringing It All Back Home,She Belongs to Me,"She’s got everything she needs
 
 She’s an artist, she don’t look back
 
 She’s got everything she needs
 
 She’s an artist, she don’t look back
 
 She can take the dark out of the nighttime
 
 And paint the daytime black
 
 
 
 You will start out standing
 
 Proud to steal her anything she sees
 
 You will start out standing
 
 Proud to steal her anything she sees
 
 But you will wind up peeking through her keyhole
 
 Down upon your knees
 
 
 
 She never stumbles
 
 She’s got no place to fall
 
 She never stumbles
 
 She’s got no place to fall
 
 She’s nobody’s child
 
 The Law can’t touch her at all
 
 
 
 She wears an Egyptian ring
 
 That sparkles before she speaks
 
 She wears an Egyptian ring
 
 That sparkles before she speaks
 
 She’s a hypnotist collector
 
 You are a walking antique
 
 
 
 Bow down to her on Sunday
 
 Salute her when her birthday comes
 
 Bow down to her on Sunday
 
 Salute her when her birthday comes
 
 For Halloween give her a trumpet
 
 And for Christmas, buy her a drum"
1965,Bringing It All Back Home,Subterranean Homesick Blues,"Johnny’s in the basement
 
 Mixing up the medicine
 
 I’m on the pavement
 
 Thinking about the government
 
 The man in the trench coat
 
 Badge out, laid off
 
 Says he’s got a bad cough
 
 Wants to get it paid off
 
 Look out kid
 
 It’s somethin’ you did
 
 God knows when
 
 But you’re doin’ it again
 
 You better duck down the alley way
 
 Lookin’ for a new friend
 
 The man in the coon-skin cap
 
 By the big pen
 
 Wants eleven dollar bills
 
 You only got ten
 
 
 
 Maggie comes fleet foot
 
 Face full of black soot
 
 Talkin’ that the heat put
 
 Plants in the bed but
 
 The phone’s tapped anyway
 
 Maggie says that many say
 
 They must bust in early May
 
 Orders from the D.A.
 
 Look out kid
 
 Don’t matter what you did
 
 Walk on your tiptoes
 
 Don’t try “No-Doz”
 
 Better stay away from those
 
 That carry around a fire hose
 
 Keep a clean nose
 
 Watch the plain clothes
 
 You don’t need a weatherman
 
 To know which way the wind blows
 
 
 
 Get sick, get well
 
 Hang around a ink well
 
 Ring bell, hard to tell
 
 If anything is goin’ to sell
 
 Try hard, get barred
 
 Get back, write braille
 
 Get jailed, jump bail
 
 Join the army, if you fail
 
 Look out kid
 
 You’re gonna get hit
 
 But users, cheaters
 
 Six-time losers
 
 Hang around the theaters
 
 Girl by the whirlpool
 
 Lookin’ for a new fool
 
 Don’t follow leaders
 
 Watch the parkin’ meters
 
 
 
 Ah get born, keep warm
 
 Short pants, romance, learn to dance
 
 Get dressed, get blessed
 
 Try to be a success
 
 Please her, please him, buy gifts
 
 Don’t steal, don’t lift
 
 Twenty years of schoolin’
 
 And they put you on the day shift
 
 Look out kid
 
 They keep it all hid
 
 Better jump down a manhole
 
 Light yourself a candle
 
 Don’t wear sandals
 
 Try to avoid the scandals
 
 Don’t wanna be a bum
 
 You better chew gum
 
 The pump don’t work
 
 ’Cause the vandals took the handles"
1965,Highway 61 Revisited,Destolatian Row,"They’re selling postcards of the hanging
 
 They’re painting the passports brown
 
 The beauty parlor is filled with sailors
 
 The circus is in town
 
 Here comes the blind commissioner
 
 They’ve got him in a trance
 
 One hand is tied to the tight-rope walker
 
 The other is in his pants
 
 And the riot squad they’re restless
 
 They need somewhere to go
 
 As Lady and I look out tonight
 
 From Desolation Row
 
 
 
 Cinderella, she seems so easy
 
 “It takes one to know one,” she smiles
 
 And puts her hands in her back pockets
 
 Bette Davis style
 
 And in comes Romeo, he’s moaning
 
 “You Belong to Me I Believe”
 
 And someone says, “You’re in the wrong place my friend
 
 You better leave”
 
 And the only sound that’s left
 
 After the ambulances go
 
 Is Cinderella sweeping up
 
 On Desolation Row
 
 
 
 Now the moon is almost hidden
 
 The stars are beginning to hide
 
 The fortune-telling lady
 
 Has even taken all her things inside
 
 All except for Cain and Abel
 
 And the hunchback of Notre Dame
 
 Everybody is making love
 
 Or else expecting rain
 
 And the Good Samaritan, he’s dressing
 
 He’s getting ready for the show
 
 He’s going to the carnival tonight
 
 On Desolation Row
 
 
 
 Now Ophelia, she’s ’neath the window
 
 For her I feel so afraid
 
 On her twenty-second birthday
 
 She already is an old maid
 
 To her, death is quite romantic
 
 She wears an iron vest
 
 Her profession’s her religion
 
 Her sin is her lifelessness
 
 And though her eyes are fixed upon
 
 Noah’s great rainbow
 
 She spends her time peeking
 
 Into Desolation Row
 
 
 
 Einstein, disguised as Robin Hood
 
 With his memories in a trunk
 
 Passed this way an hour ago
 
 With his friend, a jealous monk
 
 He looked so immaculately frightful
 
 As he bummed a cigarette
 
 Then he went off sniffing drainpipes
 
 And reciting the alphabet
 
 Now you would not think to look at him
 
 But he was famous long ago
 
 For playing the electric violin
 
 On Desolation Row
 
 
 
 Dr. Filth, he keeps his world
 
 Inside of a leather cup
 
 But all his sexless patients
 
 They’re trying to blow it up
 
 Now his nurse, some local loser
 
 She’s in charge of the cyanide hole
 
 And she also keeps the cards that read
 
 “Have Mercy on His Soul”
 
 They all play on pennywhistles
 
 You can hear them blow
 
 If you lean your head out far enough
 
 From Desolation Row
 
 
 
 Across the street they’ve nailed the curtains
 
 They’re getting ready for the feast
 
 The Phantom of the Opera
 
 A perfect image of a priest
 
 They’re spoonfeeding Casanova
 
 To get him to feel more assured
 
 Then they’ll kill him with self-confidence
 
 After poisoning him with words
 
 And the Phantom’s shouting to skinny girls
 
 “Get Outa Here If You Don’t Know
 
 Casanova is just being punished for going
 
 To Desolation Row”
 
 
 
 Now at midnight all the agents
 
 And the superhuman crew
 
 Come out and round up everyone
 
 That knows more than they do
 
 Then they bring them to the factory
 
 Where the heart-attack machine
 
 Is strapped across their shoulders
 
 And then the kerosene
 
 Is brought down from the castles
 
 By insurance men who go
 
 Check to see that nobody is escaping
 
 To Desolation Row
 
 
 
 Praise be to Nero’s Neptune
 
 The Titanic sails at dawn
 
 And everybody’s shouting
 
 “Which Side Are You On?”
 
 And Ezra Pound and T. S. Eliot
 
 Fighting in the captain’s tower
 
 While calypso singers laugh at them
 
 And fishermen hold flowers
 
 Between the windows of the sea
 
 Where lovely mermaids flow
 
 And nobody has to think too much
 
 About Desolation Row
 
 
 
 Yes, I received your letter yesterday
 
 (About the time the doorknob broke)
 
 When you asked how I was doing
 
 Was that some kind of joke?
 
 All these people that you mention
 
 Yes, I know them, they’re quite lame
 
 I had to rearrange their faces
 
 And give them all another name
 
 Right now I can’t read too good
 
 Don’t send me no more letters no
 
 Not unless you mail them
 
 From Desolation Row"
1965,Highway 61 Revisited,From a Buick 6,"I got this graveyard woman, you know she keeps my kid
 
 But my soulful mama, you know she keeps me hid
 
 She’s a junkyard angel and she always gives me bread
 
 Well, if I go down dyin’, you know she bound to put a blanket on my bed.
 
 
 
 Well, when the pipeline gets broken and I’m lost on the river bridge
 
 I’m cracked up on the highway and on the water’s edge
 
 She comes down the thruway ready to sew me up with thread
 
 Well, if I go down dyin’, you know she bound to put a blanket on my bed.
 
 
 
 Well, she don’t make me nervous, she don’t talk too much
 
 She walks like Bo Diddley and she don’t need no crutch
 
 She keeps this four-ten all loaded with lead
 
 Well, if I go down dyin’, you know she bound to put a blanket on my bed.
 
 
 
 Well, you know I need a steam shovel mama to keep away the dead
 
 I need a dump truck mama to unload my head
 
 She brings me everything and more, and just like I said
 
 Well, if I go down dyin’, you know she bound to put a blanket on my bed."
1965,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Sitting on a Barbed-Wire Fence,"I paid fifteen million dollars, twelve hundred and seventy-two cents

I paid one thousand two hundred twenty-seven dollars and fifty-five cents

See my hound dog bite a rabbit

And my football’s sittin’ on a barbed-wire fence



Well, my temperature rises and my feet don’t walk so fast

Yes, my temperature rises and my feet don’t walk so fast

Well, this Arabian doctor came in, gave me a shot

But wouldn’t tell me if what I had would last



Well, this woman I’ve got, she’s filling me with her drive

Yes, this woman I’ve got, she’s thrillin’ me with her hive

She’s calling me Stan

Or else she calls me Mister Clive



Of course, you’re gonna think this song is a riff

I know you’re gonna think this song is a cliff

Unless you’ve been inside a tunnel

And fell down 69, 70 feet over a barbed-wire fence



All night!"
1965,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991","Farewell, Angelina","Farewell Angelina

The bells of the crown

Are being stolen by bandits

I must follow the sound

The triangle tingles

And the trumpets play slow

Farewell Angelina

The sky is on fire

And I must go



There’s no need for anger

There’s no need for blame

There’s nothing to prove

Ev’rything’s still the same

Just a table standing empty

By the edge of the sea

Farewell Angelina

The sky is trembling

And I must leave



The jacks and the queens

Have forsaked the courtyard

Fifty-two gypsies

Now file past the guards

In the space where the deuce

And the ace once ran wild

Farewell Angelina

The sky is folding

I’ll see you in a while



See the cross-eyed pirates sitting

Perched in the sun

Shooting tin cans

With a sawed-off shotgun

And the neighbors they clap

And they cheer with each blast

Farewell Angelina

The sky’s changing color

And I must leave fast



King Kong, little elves

On the rooftops they dance

Valentino-type tangos

While the makeup man’s hands

Shut the eyes of the dead

Not to embarrass anyone

Farewell Angelina

The sky is embarrassed

And I must be gone



The machine guns are roaring

The puppets heave rocks

The fiends nail time bombs

To the hands of the clocks

Call me any name you like

I will never deny it

Farewell Angelina

The sky is erupting

I must go where it’s quiet"
1965,Highway 61 Revisited,Just Like Tom Thumb's Blues,"When you’re lost in the rain in Juarez
 
 And it’s Eastertime too
 
 And your gravity fails
 
 And negativity don’t pull you through
 
 Don’t put on any airs
 
 When you’re down on Rue Morgue Avenue
 
 They got some hungry women there
 
 And they really make a mess outta you
 
 
 
 Now if you see Saint Annie
 
 Please tell her thanks a lot
 
 I cannot move
 
 My fingers are all in a knot
 
 I don’t have the strength
 
 To get up and take another shot
 
 And my best friend, my doctor
 
 Won’t even say what it is I’ve got
 
 
 
 Sweet Melinda
 
 The peasants call her the goddess of gloom
 
 She speaks good English
 
 And she invites you up into her room
 
 And you’re so kind
 
 And careful not to go to her too soon
 
 And she takes your voice
 
 And leaves you howling at the moon
 
 
 
 Up on Housing Project Hill
 
 It’s either fortune or fame
 
 You must pick up one or the other
 
 Though neither of them are to be what they claim
 
 If you’re lookin’ to get silly
 
 You better go back to from where you came
 
 Because the cops don’t need you
 
 And man they expect the same
 
 
 
 Now all the authorities
 
 They just stand around and boast
 
 How they blackmailed the sergeant-at-arms
 
 Into leaving his post
 
 And picking up Angel who
 
 Just arrived here from the coast
 
 Who looked so fine at first
 
 But left looking just like a ghost
 
 
 
 I started out on burgundy
 
 But soon hit the harder stuff
 
 Everybody said they’d stand behind me
 
 When the game got rough
 
 But the joke was on me
 
 There was nobody even there to call my bluff
 
 I’m going back to New York City
 
 I do believe I’ve had enough"
1965,Bringing It All Back Home,Mr. Tambourine Man,"Hey! Mr. Tambourine Man, play a song for me
 
 I’m not sleepy and there is no place I’m going to
 
 Hey! Mr. Tambourine Man, play a song for me
 
 In the jingle jangle morning I’ll come followin’ you
 
 
 
 Though I know that evenin’s empire has returned into sand
 
 Vanished from my hand
 
 Left me blindly here to stand but still not sleeping
 
 My weariness amazes me, I’m branded on my feet
 
 I have no one to meet
 
 And the ancient empty street’s too dead for dreaming
 
 
 
 Hey! Mr. Tambourine Man, play a song for me
 
 I’m not sleepy and there is no place I’m going to
 
 Hey! Mr. Tambourine Man, play a song for me
 
 In the jingle jangle morning I’ll come followin’ you
 
 
 
 Take me on a trip upon your magic swirlin’ ship
 
 My senses have been stripped, my hands can’t feel to grip
 
 My toes too numb to step
 
 Wait only for my boot heels to be wanderin’
 
 I’m ready to go anywhere, I’m ready for to fade
 
 Into my own parade, cast your dancing spell my way
 
 I promise to go under it
 
 
 
 Hey! Mr. Tambourine Man, play a song for me
 
 I’m not sleepy and there is no place I’m going to
 
 Hey! Mr. Tambourine Man, play a song for me
 
 In the jingle jangle morning I’ll come followin’ you
 
 
 
 Though you might hear laughin’, spinnin’, swingin’ madly across the sun
 
 It’s not aimed at anyone, it’s just escapin’ on the run
 
 And but for the sky there are no fences facin’
 
 And if you hear vague traces of skippin’ reels of rhyme
 
 To your tambourine in time, it’s just a ragged clown behind
 
 I wouldn’t pay it any mind
 
 It’s just a shadow you’re seein’ that he’s chasing
 
 
 
 Hey! Mr. Tambourine Man, play a song for me
 
 I’m not sleepy and there is no place I’m going to
 
 Hey! Mr. Tambourine Man, play a song for me
 
 In the jingle jangle morning I’ll come followin’ you
 
 
 
 Then take me disappearin’ through the smoke rings of my mind
 
 Down the foggy ruins of time, far past the frozen leaves
 
 The haunted, frightened trees, out to the windy beach
 
 Far from the twisted reach of crazy sorrow
 
 Yes, to dance beneath the diamond sky with one hand waving free
 
 Silhouetted by the sea, circled by the circus sands
 
 With all memory and fate driven deep beneath the waves
 
 Let me forget about today until tomorrow
 
 
 
 Hey! Mr. Tambourine Man, play a song for me
 
 I’m not sleepy and there is no place I’m going to
 
 Hey! Mr. Tambourine Man, play a song for me
 
 In the jingle jangle morning I’ll come followin’ you"
1965,Highway 61 Revisited,Queen Jane Approximately,"When your mother sends back all your invitations
 
 And your father to your sister he explains
 
 That you’re tired of yourself and all of your creations
 
 Won’t you come see me, Queen Jane?
 
 Won’t you come see me, Queen Jane?
 
 
 
 Now when all of the flower ladies want back what they have lent you
 
 And the smell of their roses does not remain
 
 And all of your children start to resent you
 
 Won’t you come see me, Queen Jane?
 
 Won’t you come see me, Queen Jane?
 
 
 
 Now when all the clowns that you have commissioned
 
 Have died in battle or in vain
 
 And you’re sick of all this repetition
 
 Won’t you come see me, Queen Jane?
 
 Won’t you come see me, Queen Jane?
 
 
 
 When all of your advisers heave their plastic
 
 At your feet to convince you of your pain
 
 Trying to prove that your conclusions should be more drastic
 
 Won’t you come see me, Queen Jane?
 
 Won’t you come see me, Queen Jane?
 
 
 
 Now when all the bandits that you turned your other cheek to
 
 All lay down their bandanas and complain
 
 And you want somebody you don’t have to speak to
 
 Won’t you come see me, Queen Jane?
 
 Won’t you come see me, Queen Jane?"
